Entity,Code,Schizophrenia_percent,Depression_percent,Anxiety_percent,Bipolar_percent,Eating_percent,Total_disorder_percent,GDP_per_capita,Population_density,Political_regime_score,Annual_sunshine,CO2_emissions
France,FRA,0.26827893,3.835741,6.2742558,0.90416586,0.46825343,11.750695019999998,45922.793,123.0702941,3,2166.6666666666665,4.460164948
Gabon,GAB,0.22967814,5.5459714,3.9851205,0.5622134,0.18273167,10.50571511,14478.002,8.704098265,1,1720.1999999999998,2.351763544
Georgia,GEO,0.27726552,3.3233132,2.4950473,0.5246634,0.12736228,6.747651699999999,14989.258,65.08556982,2,2046.0,2.835791247
Germany,DEU,0.26269624,3.3767943,6.208145,0.7469019,0.42561316,11.020150599999996,53874.316,237.8229543,3,1644.0,7.927187624
Ghana,GHA,0.21691793,4.3620286,3.0005414,0.54393464,0.117816195,8.241238765,5345.9414,138.5351587,3,2367.5,0.5722648957
Greece,GRC,0.27222666,5.0422506,5.7790413,0.90686923,0.42984423,12.43023202,29721.586,83.17751746,2,2773.0,5.595284353
Guinea,GIN,0.20905477,4.3731165,3.3388844,0.53725857,0.09339962,8.55171386,2545.1401,52.40737018,1,2440.0,0.3507657791
Guinea-Bissau,GNB,0.20376217,4.4942803,3.0934513,0.52663183,0.08834084,8.40646644,1890.5331,70.07315078,2,2707.0,0.1650886063
Guyana,GUY,0.26300907,4.927692,4.3815017,0.8697546,0.18756385,10.62952122,12820.489,4.057673355,2,2460.6,3.500331141
Honduras,HND,0.2616812,3.1551142,4.090965,0.81202614,0.167219,8.487005539999998,5613.6606,89.00553222,1,2259.8,1.023855315
Hungary,HUN,0.2914906,2.8233702,3.4067228,0.5375118,0.1835278,7.2426232,32649.143,107.0692636,1,1988.0,4.836876267
Iceland,ISL,0.27835035,2.9365938,5.1037683,0.9084446,0.4541073,9.68126435,56923.17,3.575949618,3,1326.0,4.543450104
India,IND,0.28522602,3.6598387,2.9674358,0.3541412,0.12927622,7.39591794,6608.624,465.1946394,1,2517.02,1.752534366
Indonesia,IDN,0.29368687,2.4184713,3.5480037,0.33060965,0.11084955,6.701621070000001,11857.789,143.5846338,2,2521.65,2.245285771
Iraq,IRQ,0.24618399,3.9326482,5.33799,0.6765268,0.20871635,10.402065339999998,10299.316,95.74024251,1,3240.8,4.347264139
Ireland,IRL,0.35267243,4.2169313,6.9078193,0.701279,0.45577714,12.63447917,86681.27,71.62636087,3,1453.0,7.257748757
Israel,ISR,0.29913944,4.127255,3.7392616,1.0514655,0.38732913,9.60445067,40810.055,418.3918669,3,3311.0,6.935752154
Italy,ITA,0.29120925,3.561658,5.5624604,0.89349115,0.54448926,10.853308060000002,42739.05,201.9805456,3,2372.25,5.311030987
Japan,JPN,0.30083296,2.1032803,2.3241255,0.6442883,0.38879964,5.761326700000001,41697.41,347.4156379,3,1837.1200000000001,8.478400575
Kazakhstan,KAZ,0.282443,3.4412057,2.1156304,0.50741726,0.16284963,6.509545990000001,26351.805,6.85767789,1,2431.5,11.05087035
Kenya,KEN,0.21664362,4.723163,3.41804,0.60172975,0.106974006,9.066550376,4601.2114,89.52357944,1,3030.025,0.3823620329
Latvia,LVA,0.28601405,3.7478287,3.748034,0.5201065,0.1660531,8.46803635,31038.68,30.75549199,3,1754.0,3.954965509
Libya,LBY,0.24989693,4.406427,5.324334,0.77044964,0.20108777,10.95219534,22535.445,3.733412142,0,3178.1,8.325767595
Lithuania,LTU,0.2884198,3.9911947,4.2541876,0.5211538,0.17335068,9.22830658,37184.453,44.6205206,2,1691.0,4.200151961
Luxembourg,LUX,0.2819182,3.2193074,5.2770224,0.896122,0.5688226,10.2431926,114542.5,240.827591,3,1634.0,15.3230398
Madagascar,MDG,0.21233796,4.737187,3.9632103,0.59737605,0.086541794,9.596653104,1585.4717,47.32405294,1,2864.433333333333,0.1426535751
Malawi,MWI,0.20184024,4.100136,3.8456526,0.5773636,0.0793044,8.80429684,1517.7031,200.1202482,1,2795.866666666667,0.08711881279
Mali,MLI,0.21123697,3.5413845,2.7260087,0.5419619,0.092865065,7.113457134999999,2219.0466,16.85591916,2,3099.866666666667,0.1914386556
Malta,MLT,0.27710927,3.1311812,6.2475963,0.9121692,0.42228425,10.990340219999998,45433.918,1575.19375,2,3054.0,3.290468236
Mauritania,MRT,0.22032183,3.6558447,2.7462342,0.5560791,0.1137088,7.29218863,5505.6465,4.253273503,1,3332.5,0.8724753065
Mexico,MEX,0.28389058,3.5358298,3.5132816,0.9148764,0.24183847,8.48971685,20064.5,64.34595077,2,2596.25,3.612165141
Moldova,MDA,0.26885495,3.22074,4.078755,0.5182467,0.10844338,8.195040030000001,13030.183,92.75609357,2,2126.0,3.348667379
Mongolia,MNG,0.27248925,3.9632094,2.1429229,0.49995935,0.13303629,7.01161719,12458.019,2.075718988,2,2791.5,7.160835656
Montenegro,MNE,0.2888891,2.8178656,3.6586478,0.54094183,0.15447724,7.46082157,21537.809,46.24743494,1,2481.0,4.181644556
